X1,X2,X3,X4
68.97,33.70,81.23,38.02
71.72,39.49,73.35,104.99
42.47,31.65,59.45,114.87
50.02,58.04,71.28,107.57
23.60,96.91,64.56,27.82
32.92,47.48,63.10,24.67
58.87,92.84,71.17,96.88
236.39,38.02,37.85,94.98
42.43,75.86,77.71,38.26
21.23,52.91,77.84,94.03
62.23,94.96,53.92,110.10
31.09,52.43,63.86,37.12
51.37,91.09,69.42,35.69
28.46,66.27,62.65,96.34
24.88,92.36,70.74,120.01
50.92,94.07,71.66,42.08
71.91,53.56,75.96,104.52
194.94,87.84,69.98,19.25
32.92,59.26,76.13,42.36
38.07,71.48,68.27,34.02
91.39,42.60,68.07,101.83
70.39,29.07,77.92,32.11
65.78,46.58,69.91,105.97
149.25,92.62,62.43,117.90
101.52,73.04,77.21,103.12
186.54,88.23,75.97,112.82
48.67,52.17,82.30,49.27
62.75,68.44,54.33,104.47
110.01,69.95,93.88,98.29
42.26,53.67,44.17,97.87
70.33,91.30,84.30,105.07
53.76,47.85,63.42,27.85
32.32,80.23,66.12,101.22
84.57,64.08,82.16,98.88
39.43,44.35,70.76,109.49
54.39,31.08,68.70,96.38
43.62,54.18,85.21,94.70
83.72,43.45,63.70,37.41
56.24,48.63,79.62,30.24
157.03,50.38,58.39,34.07
54.61,68.62,38.15,96.48
43.49,60.90,54.11,43.57
34.40,90.19,64.11,24.01
22.89,32.78,69.18,40.62
35.64,28.99,71.96,107.90
240.85,28.90,82.77,115.13
57.44,81.11,67.82,33.64
177.99,42.86,94.62,109.59
60.72,84.72,89.00,107.58
64.62,49.17,73.39,102.05
101.44,77.68,66.48,91.49
87.31,45.07,48.22,23.59
84.38,94.07,109.90,103.94
80.20,51.79,49.88,102.87
61.67,54.44,71.06,107.75
78.26,30.83,85.19,91.09
106.97,31.96,57.76,112.84
37.61,49.17,62.39,33.84
87.11,95.72,78.82,87.39
83.17,53.40,83.05,104.56
92.09,82.52,64.72,28.41
50.25,34.42,72.68,47.13
40.40,86.84,58.86,104.37
92.96,51.63,53.90,41.20
42.21,36.83,71.93,110.41
52.35,44.63,103.80,100.51
45.22,80.02,86.35,36.70
84.07,94.65,58.84,27.33
21.51,56.87,86.10,32.41
62.60,46.75,85.25,101.49
94.23,84.26,56.14,28.00
29.22,79.14,90.16,102.42
63.84,70.03,56.72,15.64
60.78,33.57,95.69,29.50
22.60,85.45,74.32,92.27
179.41,84.21,74.49,99.80
75.52,45.02,49.25,37.62
27.95,62.40,67.06,118.59
72.35,39.57,70.89,93.86
48.42,89.78,80.91,17.07
138.14,35.60,73.78,92.86
62.40,86.35,88.92,95.19
86.86,81.87,60.63,23.73
89.58,67.27,63.64,108.65
33.77,79.76,26.29,34.37
45.43,37.47,87.02,102.00
76.82,49.07,68.05,25.71
38.06,46.91,96.41,79.99
21.00,47.36,72.73,38.04
64.07,78.73,52.91,104.84
55.71,87.99,68.22,85.55
48.59,56.03,77.61,41.30
74.43,96.26,60.95,101.35
54.24,76.83,73.27,42.99
20.39,87.31,67.95,27.01
105.34,85.50,63.98,22.13
79.41,30.42,63.34,97.28
56.10,30.96,77.58,125.29
52.87,56.10,77.83,98.53
206.19,31.11,70.84,29.89
36.27,79.68,75.67,114.53
37.61,63.49,71.06,37.15
43.80,93.72,98.69,127.43
104.26,73.64,63.13,105.45
26.60,61.31,63.07,39.11
78.51,48.07,96.66,110.02
72.12,91.34,91.74,44.27
30.73,97.37,74.82,47.46
31.90,85.69,62.77,103.94
78.74,49.96,63.42,18.64
47.08,36.20,58.82,27.85
27.92,95.76,71.33,97.92
198.94,40.00,62.75,23.22
74.23,56.64,84.46,32.07
220.59,92.40,77.16,14.99
20.73,61.28,62.94,116.73
31.57,64.67,68.44,16.72
51.79,34.48,69.95,20.76
52.21,84.32,70.75,39.94
131.45,38.35,71.26,100.87
41.76,73.43,87.94,118.96
30.21,29.02,63.58,33.07
70.06,93.62,66.66,31.27
62.82,96.98,73.83,31.05
71.29,82.29,87.41,22.29
158.28,71.99,66.67,35.21
77.46,73.19,80.44,109.67
166.94,47.84,58.84,21.85
26.32,70.61,42.63,27.60
119.18,31.33,65.08,20.08
26.61,83.56,62.06,103.02
42.96,76.78,52.76,113.38
118.93,31.38,67.93,22.51
68.46,78.96,60.24,96.89
45.94,68.76,101.90,20.60
43.63,84.08,76.88,27.73
51.42,43.73,54.23,32.98
76.68,46.26,74.97,36.85
29.25,57.33,70.22,101.38
54.78,42.59,47.84,38.93
37.96,80.61,48.33,30.48
89.13,86.20,73.66,95.86
37.91,38.55,70.19,29.25
60.42,45.69,73.75,108.04
33.94,29.07,66.17,104.43
26.21,91.11,49.98,103.18
50.93,88.14,70.73,106.80
325.25,57.30,61.70,26.51
72.17,80.12,46.98,105.47
30.59,89.87,35.46,38.12
188.62,68.95,53.45,37.24
98.09,41.83,54.22,96.99
54.17,57.89,81.24,25.37
107.00,94.86,67.47,96.36
23.19,42.47,79.35,95.44
135.18,94.91,64.88,32.91
33.00,73.69,64.26,34.76
39.43,32.49,81.88,110.64
103.32,63.13,66.66,108.59
39.70,57.12,65.09,105.65
95.70,55.72,91.06,114.11
113.88,33.88,61.53,25.84
24.32,92.60,84.14,33.95
29.33,81.21,79.43,20.33
46.83,69.35,67.49,105.31
141.24,37.53,64.86,94.10
31.34,85.21,70.37,35.51
73.10,72.96,53.94,104.43
44.10,62.25,68.37,23.85
26.87,44.90,93.22,105.45
117.36,71.85,87.92,34.88
25.17,74.88,56.39,47.09
43.59,56.45,67.84,20.17
34.95,50.57,63.29,96.76
123.50,89.81,93.76,27.01
37.87,49.40,79.12,22.73
63.72,70.92,79.18,92.54
122.93,45.94,82.16,95.12
148.59,66.20,49.81,122.81
34.57,83.35,74.17,104.49
29.97,84.81,49.36,101.86
116.54,90.47,66.78,105.06
41.12,42.26,73.84,25.58
38.51,30.25,80.83,108.99
36.97,46.28,63.92,24.35
91.04,29.41,75.06,118.85
254.56,52.29,85.89,38.79
167.83,48.08,68.13,109.65
472.88,57.96,100.53,101.01
27.10,79.11,87.06,38.71
179.13,91.29,58.56,29.56
52.47,36.45,73.48,26.16
208.15,29.99,83.73,116.91
46.81,68.68,98.34,31.90
110.28,30.43,54.13,109.13
31.45,39.14,70.63,33.30
54.36,89.12,62.30,36.27
54.71,55.07,49.54,104.36
57.79,90.42,93.67,45.61
32.77,65.56,57.51,17.14
