X1,X2,X3,X4
65.87,58.38,52.47,85.22
67.36,51.45,50.65,37.18
64.60,58.12,54.07,78.40
118.17,47.53,34.39,20.10
45.02,52.62,60.45,40.53
403.81,53.32,18.28,74.52
47.76,49.23,30.89,74.06
60.68,46.56,78.27,22.81
45.78,63.19,26.06,15.24
80.40,55.89,73.43,91.28
185.51,52.45,72.03,55.74
126.02,56.66,54.55,30.25
79.11,50.53,68.43,97.46
125.39,50.30,73.92,31.63
50.22,39.36,33.76,35.42
273.99,50.56,55.12,86.17
86.27,59.36,26.85,40.09
68.86,49.80,80.67,31.28
163.67,47.73,54.94,41.98
98.63,48.77,79.34,40.55
103.52,51.23,46.93,89.73
42.30,51.05,65.91,80.04
101.68,59.40,77.65,100.63
70.50,49.48,44.87,37.08
169.79,52.71,23.43,90.67
30.34,56.36,85.47,35.44
148.76,52.93,75.05,90.98
65.75,58.81,30.21,31.32
195.41,46.05,35.94,18.19
60.67,51.00,55.08,11.63
27.35,51.01,25.70,30.25
120.55,45.16,25.03,84.96
43.65,53.85,48.95,94.06
158.84,58.99,33.26,19.50
155.84,49.82,66.28,80.18
70.87,44.67,74.36,27.85
61.79,58.75,80.56,91.59
124.47,57.90,56.83,37.52
182.40,42.13,78.79,34.06
97.02,45.36,24.67,85.32
210.62,67.17,26.94,97.11
107.03,58.45,30.98,92.52
50.99,40.50,66.81,93.23
78.73,48.91,66.84,16.49
63.47,55.49,80.52,43.25
161.62,56.89,53.01,31.91
178.17,64.68,42.78,25.43
227.31,63.03,53.90,76.62
220.87,63.43,78.69,22.83
134.90,71.98,80.78,30.27
37.96,46.95,81.17,28.31
24.44,53.47,27.62,95.27
82.61,56.45,13.54,93.06
64.40,53.37,63.70,28.98
82.32,49.91,59.38,84.61
33.00,55.17,70.29,30.62
58.38,57.71,73.11,29.92
26.99,42.68,43.60,93.13
82.89,57.25,61.82,72.04
311.15,60.55,19.65,32.99
28.75,49.14,26.26,112.32
96.53,57.52,79.97,70.14
100.10,51.19,52.12,43.74
73.83,51.65,15.48,82.21
33.93,69.44,36.97,30.61
87.96,41.76,67.30,78.58
35.63,51.90,77.38,76.17
57.22,52.11,86.46,37.88
178.06,54.23,77.92,79.99
163.04,54.63,25.23,80.52
45.79,45.33,70.76,86.88
49.71,61.26,39.96,87.21
73.42,41.48,86.92,25.81
33.29,44.68,34.19,88.68
72.07,43.96,76.17,10.09
173.88,54.97,16.70,79.79
221.54,51.65,19.13,84.03
46.46,57.34,44.15,73.28
126.51,61.52,75.58,86.78
39.57,56.25,83.96,42.16
128.75,56.19,45.32,32.98
49.87,49.22,78.80,9.94
65.04,53.68,44.67,91.44
102.20,51.45,64.41,39.36
28.16,46.80,44.58,18.91
53.70,61.70,26.19,10.83
149.99,60.82,27.95,48.72
75.87,49.79,31.01,32.43
106.72,54.24,63.87,101.80
153.04,47.13,33.85,35.98
52.24,37.66,61.99,89.05
101.37,54.01,80.07,43.95
56.47,70.51,39.20,32.87
68.62,58.53,81.11,93.29
98.00,54.99,66.13,28.26
58.88,52.22,51.76,28.00
57.65,51.90,76.15,31.47
300.85,50.52,13.59,39.05
51.91,64.57,54.82,80.93
101.82,50.42,80.15,92.33
51.94,51.27,55.25,25.46
26.58,50.42,41.24,42.05
61.45,52.05,73.56,33.07
172.90,38.34,72.99,98.47
248.43,48.12,48.21,29.10
54.31,50.86,77.52,24.79
