X1,X2,X3,X4
81.70,55.20,71.41,93.93
40.17,18.18,66.73,94.80
150.80,54.72,81.41,89.91
118.28,60.09,77.76,91.50
131.53,46.64,72.70,94.22
28.45,58.35,72.12,93.83
35.09,34.73,75.98,50.06
77.08,41.23,74.41,98.51
62.16,86.18,88.87,92.28
45.31,43.19,60.05,48.02
33.68,25.37,75.82,51.12
38.11,47.21,84.78,87.59
77.78,28.25,69.55,49.67
239.25,38.57,62.49,87.88
103.67,61.78,74.57,49.90
58.23,79.17,72.54,87.25
28.73,58.26,60.06,52.85
154.51,39.98,38.51,86.84
107.98,34.72,67.84,91.40
148.44,43.98,67.26,46.29
176.48,44.36,57.08,49.07
125.26,37.13,67.66,91.72
46.83,82.00,83.46,52.42
36.11,16.99,74.55,95.37
467.70,64.67,80.49,53.98
117.16,43.41,73.10,44.90
167.33,91.22,67.96,42.92
86.75,48.61,72.22,53.60
284.68,82.16,57.62,89.03
48.96,87.63,66.78,53.39
359.17,70.34,65.50,53.09
34.03,82.64,67.75,53.90
22.34,19.50,67.08,51.74
62.34,36.61,71.96,88.45
86.03,40.07,75.51,54.80
21.26,55.89,64.58,54.56
78.51,68.67,64.75,52.65
48.68,34.52,71.75,48.25
341.41,22.52,84.66,96.58
19.24,88.82,82.81,55.38
57.98,61.30,68.15,53.56
118.07,71.26,80.93,57.53
91.03,28.49,72.05,95.46
193.46,54.70,62.76,51.01
75.59,49.72,76.68,91.42
136.29,67.06,58.42,47.43
254.70,40.47,71.54,100.70
17.71,86.80,69.57,90.89
65.53,45.70,51.56,96.18
28.42,49.10,69.12,54.55
26.54,37.27,61.77,47.35
219.06,59.36,69.69,94.74
79.19,86.64,64.58,93.82
176.84,37.93,57.38,100.75
17.71,40.21,63.50,100.18
40.05,17.86,81.35,51.89
64.51,85.59,73.65,44.83
81.89,85.97,75.59,94.53
25.03,18.97,72.97,98.05
48.63,15.44,87.05,97.64
42.14,17.25,57.87,105.43
52.23,57.75,57.72,50.32
124.33,42.33,74.46,92.46
75.61,83.71,47.17,58.51
130.67,42.68,66.45,56.10
30.79,75.14,70.34,94.56
194.97,82.50,74.35,90.00
52.89,27.36,79.62,93.39
208.96,81.38,66.23,98.14
230.84,61.57,62.44,92.06
32.00,60.89,85.71,48.54
101.78,74.12,90.40,95.57
92.22,42.32,77.19,98.69
61.76,19.37,63.13,52.74
40.04,63.99,75.71,52.97
18.68,48.34,78.42,50.20
235.94,14.82,65.01,96.49
46.07,90.47,62.86,58.86
28.63,65.30,51.12,58.41
127.28,23.76,71.43,53.99
20.92,85.44,75.07,53.22
44.03,68.11,72.83,56.14
72.03,33.97,84.24,94.74
165.78,53.10,54.87,48.29
31.82,83.51,76.73,92.19
137.13,27.77,58.96,92.92
84.73,74.66,69.75,93.22
141.44,60.97,80.69,53.57
34.12,32.22,66.43,97.29
18.97,37.18,91.20,55.70
179.75,60.60,61.12,94.32
138.23,38.44,80.53,51.04
74.64,55.61,72.19,57.55
76.03,63.84,85.79,49.83
39.73,53.98,70.21,95.55
216.63,38.91,63.04,93.83
18.38,87.26,70.00,49.50
221.42,77.78,71.87,48.03
122.25,20.06,55.67,52.57
36.37,33.47,78.72,90.06
33.74,17.57,74.21,92.29
77.66,54.83,82.18,47.28
152.02,56.14,63.15,97.38
300.18,88.07,70.62,47.24
217.45,30.74,79.06,54.32
37.25,40.08,69.50,91.22
47.23,89.40,87.87,92.64
107.89,52.50,84.51,53.83
163.31,75.94,76.91,51.55
32.15,49.22,73.16,63.26
115.86,63.36,92.87,97.98
46.22,20.54,68.07,86.85
131.16,70.17,74.23,96.80
28.98,50.88,78.24,50.87
365.12,47.50,68.71,59.31
21.77,23.69,74.83,85.78
26.59,17.44,56.37,100.50
54.94,46.44,73.78,91.73
73.46,37.15,56.58,51.84
75.05,38.47,65.51,87.75
110.75,67.74,72.31,94.30
47.50,85.21,77.37,54.11
103.66,61.07,53.50,40.80
26.92,73.16,80.18,93.65
171.69,25.54,75.07,45.67
76.36,88.49,63.14,51.75
97.37,68.50,71.15,94.55
33.77,83.50,61.53,62.25
477.44,26.38,66.88,101.25
61.63,48.89,86.86,60.74
40.11,87.10,64.04,48.91
269.94,50.27,63.90,89.04
27.23,63.68,58.27,102.67
24.47,63.07,67.58,96.62
30.87,43.86,64.16,59.02
60.96,45.48,72.49,53.61
159.27,20.72,56.58,54.58
231.30,84.22,69.24,49.16
236.59,63.46,56.66,92.62
70.58,41.56,70.81,94.48
39.84,66.73,64.01,55.40
17.06,28.58,89.99,58.38
76.32,13.73,77.72,90.67
171.37,79.22,77.57,88.43
76.16,48.30,85.28,93.19
27.70,53.08,74.19,104.59
142.07,70.78,74.49,92.27
171.94,54.17,69.33,102.43
117.33,41.30,64.70,46.07
71.95,83.47,68.05,56.56
50.57,30.90,67.20,49.03
30.92,44.80,91.31,59.62
20.32,40.25,74.59,52.25
20.63,53.31,67.06,91.55
205.17,51.82,45.16,54.21
16.64,35.59,89.33,50.71
141.33,15.33,61.22,109.79
32.60,15.31,69.31,103.32
94.64,79.26,66.13,97.44
133.59,61.23,64.00,91.91
22.34,65.61,67.90,44.81
74.72,30.16,75.16,89.96
40.46,45.68,76.23,100.76
111.20,42.99,83.51,98.15
217.35,78.33,69.90,43.37
57.37,64.29,61.49,47.95
79.27,69.87,83.13,53.04
49.35,19.88,74.75,50.08
143.81,35.70,57.84,93.82
44.30,56.67,70.97,49.71
31.81,61.57,71.65,54.32
92.94,21.16,61.00,95.96
43.69,25.27,66.65,97.56
25.69,51.99,67.15,98.64
158.67,34.16,77.80,88.89
79.53,52.70,57.94,103.10
50.78,13.36,78.67,60.85
67.86,39.22,85.42,91.87
308.31,68.17,84.16,57.23
207.13,37.07,58.43,91.83
80.47,39.31,64.11,96.73
357.32,30.96,85.23,43.10
32.89,14.25,60.80,48.67
67.98,38.45,72.13,90.98
32.84,88.49,73.31,97.03
18.34,35.12,62.68,56.83
119.07,68.30,98.38,41.35
25.87,59.48,63.19,54.03
64.20,32.66,82.47,96.25
320.26,61.25,79.91,96.48
27.28,51.30,70.48,57.48
89.81,68.37,69.89,101.26
44.83,48.11,63.35,90.08
21.23,76.80,69.40,90.66
85.09,80.45,75.80,52.00
95.23,63.62,71.07,101.30
25.40,15.83,92.84,95.05
249.59,75.64,89.58,101.27
17.48,65.32,81.42,93.50
122.46,79.54,65.23,54.31
